young_pa,poisson,reference_low_pa,reference_high_pa,model,confidence,note,label_id,tissue,material_id,mechanical_group,mesh_domain,mesh_domain_tag,interface_policy,isotropy_assumption,fiber_stiffness,mass_density_kg_per_m3,em_frequency_hz,conductivity_s_per_m,relative_permittivity,source_keys
5000.0,0.49,1600.0,24000.0,near-incompressible Neo-Hookean effective fit,high,SAT initial modulus is low and increases strongly with strain.,1,SAT (Subcutaneous Fat),sat_subcutaneous_fat,SAT_FAT,SAT,1,protected,reasonable_isotropic_first_approximation,0.0,911.0,316.0,0.07762127305463426,44970.54684825236,alkhouli_2013;sun_2023
635000.0,0.45,420000.0,2000000.0,fiber-reinforced Neo-Hookean effective fit,medium,"Skin is anisotropic; this modulus targets low-rate whole-body morphing, not failure.",2,Skin,skin,SKIN,SKIN,2,protected,anisotropic_in_literature; isotropic_solver_approximation,1000000.0,1109.0,316.0,0.1482971014492752,1135.8488261472214,ni_annaidh_2012;piper_adult_2023;kim_2013
8000.0,0.49,2900.0,32000.0,near-incompressible Neo-Hookean effective fit,high,Omental/visceral fat is generally stiffer than paired SAT.,3,Fat,fat,VISCERAL_FAT,ADIPOSE_OTHER,3,mergeable_with_soft_organs_only_when_coarse,reasonable_isotropic_first_approximation,0.0,911.0,316.0,0.07762127305463426,44970.54684825236,alkhouli_2013
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,4,Kidney (Cortex),kidney_cortex,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1049.0,316.0,0.3415180816449628,589111.380606015,singh_chanda_2021;piper_adult_2023
50.0,0.2,0.0,100.0,very-soft solid placeholder,placeholder,Air is not a structural solid; use pressure/cavity elements in a higher-fidelity model.,5,Trachea Lumen,trachea_lumen,AIR_LUMEN,INTERNAL_VOID_LUMEN,4,cavity_wall,not_a_structural_solid; isotropic_placeholder,0.0,1.16409,316.0,0.0,1.0,
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,6,Kidney (Medulla),kidney_medulla,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1044.0,316.0,0.3415180816449628,589111.380606015,singh_chanda_2021;piper_adult_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,7,Ureter\Urethra,ureter_urethra,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1101.5,316.0,0.2319716049382717,989878.6095836987,singh_chanda_2021;piper_adult_2023
43000.0,0.35,3000.0,153000.0,compressible nonlinear-solid approximation,medium,Depends strongly on inflation and strain rate; 43 kPa is a quasi-static compression scale.,8,Bronchi,bronchi,LUNG_AIRWAY,AIRWAY_WALL,5,protected,reasonable_isotropic_first_approximation,0.0,1101.5,316.0,0.557625,50316.17995465445,pydi_2023
500.0,0.49,0.0,2000.0,low-shear solid placeholder,placeholder,A fluid/cavity formulation is physically preferable; this value only stabilizes the solid mesh.,9,Urine,urine,FLUID_BLOOD,INTERNAL_FLUID_PLACEHOLDER,9,cavity_or_vessel_wall,not_a_structural_solid; isotropic_placeholder,0.0,1023.61320427124,316.0,2.441203954109114,96.89999999964526,piper_adult_2023
100000.0,0.49,70000.0,430000.0,near-incompressible Neo-Hookean surrogate,medium,Human bladder wall range; empty/full state remains unmodeled.,10,Urinary Bladder Wall,urinary_bladder_wall,ORGAN_SOFT,GENERAL_SOFT_ORGAN,8,protected_for_named_organs,reasonable_isotropic_first_approximation,0.0,1086.0,316.0,0.3146706388369769,90393.84895813862,bladder_review_2024
43000.0,0.35,3000.0,153000.0,compressible nonlinear-solid approximation,medium,Depends strongly on inflation and strain rate; 43 kPa is a quasi-static compression scale.,11,Lung,lung,LUNG_AIRWAY,AIRWAY_WALL,5,protected,reasonable_isotropic_first_approximation,0.0,394.0,316.0,0.1014128681927712,360027.7475656747,pydi_2023
12000.0,0.49,1000.0,100000.0,near-incompressible Neo-Hookean surrogate,low,Fallback only; label-specific overrides are preferred for major organs.,12,Larynx,larynx,ORGAN_SOFT,AIRWAY_WALL,5,protected,reasonable_isotropic_first_approximation,0.0,1099.5,316.0,0.7392595578616339,109650.9291883721,singh_chanda_2021;piper_adult_2023
